Epoch [82/150] | Train Loss: 0.2815 | Train Acc: 90.07% | Val Loss: 0.2946 | Val Acc: 90.76% | LR: 0.000217
Epoch [83/150] | Train Loss: 0.2695 | Train Acc: 90.54% | Val Loss: 0.3032 | Val Acc: 90.73% | LR: 0.000213
Epoch [84/150] | Train Loss: 0.2637 | Train Acc: 90.72% | Val Loss: 0.3026 | Val Acc: 90.84% | LR: 0.000209
Epoch [85/150] | Train Loss: 0.2557 | Train Acc: 90.96% | Val Loss: 0.3014 | Val Acc: 91.03% | LR: 0.000205
Epoch [86/150] | Train Loss: 0.2498 | Train Acc: 91.36% | Val Loss: 0.3240 | Val Acc: 90.67% | LR: 0.000201
Epoch [87/150] | Train Loss: 0.2423 | Train Acc: 91.48% | Val Loss: 0.3232 | Val Acc: 90.76% | LR: 0.000196
Epoch [88/150] | Train Loss: 0.2417 | Train Acc: 91.58% | Val Loss: 0.3086 | Val Acc: 91.09% | LR: 0.000192
Epoch [89/150] | Train Loss: 0.2379 | Train Acc: 91.55% | Val Loss: 0.3013 | Val Acc: 91.10% | LR: 0.000188
Epoch [90/150] | Train Loss: 0.2330 | Train Acc: 91.92% | Val Loss: 0.3127 | Val Acc: 90.89% | LR: 0.000183
Epoch [91/150] | Train Loss: 0.2280 | Train Acc: 92.03% | Val Loss: 0.3147 | Val Acc: 90.80% | LR: 0.000179
Epoch [92/150] | Train Loss: 0.2191 | Train Acc: 92.27% | Val Loss: 0.3127 | Val Acc: 91.06% | LR: 0.000175
Epoch [93/150] | Train Loss: 0.2148 | Train Acc: 92.37% | Val Loss: 0.3149 | Val Acc: 91.07% | LR: 0.000170
Epoch [94/150] | Train Loss: 0.2070 | Train Acc: 92.69% | Val Loss: 0.3101 | Val Acc: 91.29% | LR: 0.000166
Epoch [95/150] | Train Loss: 0.2007 | Train Acc: 92.99% | Val Loss: 0.3192 | Val Acc: 90.95% | LR: 0.000161
Epoch [96/150] | Train Loss: 0.2027 | Train Acc: 92.96% | Val Loss: 0.3065 | Val Acc: 91.33% | LR: 0.000157
Epoch [97/150] | Train Loss: 0.1895 | Train Acc: 93.29% | Val Loss: 0.3210 | Val Acc: 91.14% | LR: 0.000152
Epoch [98/150] | Train Loss: 0.1882 | Train Acc: 93.35% | Val Loss: 0.3131 | Val Acc: 91.38% | LR: 0.000148
Epoch [99/150] | Train Loss: 0.1819 | Train Acc: 93.71% | Val Loss: 0.3206 | Val Acc: 91.22% | LR: 0.000143
Epoch [100/150] | Train Loss: 0.1799 | Train Acc: 93.63% | Val Loss: 0.3291 | Val Acc: 91.23% | LR: 0.000139
Epoch [101/150] | Train Loss: 0.1726 | Train Acc: 93.87% | Val Loss: 0.3254 | Val Acc: 91.32% | LR: 0.000134
Epoch [102/150] | Train Loss: 0.1724 | Train Acc: 93.93% | Val Loss: 0.3219 | Val Acc: 91.50% | LR: 0.000130
Epoch [103/150] | Train Loss: 0.1710 | Train Acc: 94.09% | Val Loss: 0.3200 | Val Acc: 91.62% | LR: 0.000125
Epoch [104/150] | Train Loss: 0.1649 | Train Acc: 94.22% | Val Loss: 0.3275 | Val Acc: 91.47% | LR: 0.000121
Epoch [105/150] | Train Loss: 0.1595 | Train Acc: 94.35% | Val Loss: 0.3450 | Val Acc: 91.14% | LR: 0.000117
Epoch [106/150] | Train Loss: 0.1557 | Train Acc: 94.47% | Val Loss: 0.3404 | Val Acc: 91.38% | LR: 0.000112
Epoch [107/150] | Train Loss: 0.1531 | Train Acc: 94.70% | Val Loss: 0.3350 | Val Acc: 91.18% | LR: 0.000108
Epoch [108/150] | Train Loss: 0.1448 | Train Acc: 94.98% | Val Loss: 0.3292 | Val Acc: 91.48% | LR: 0.000104
Epoch [109/150] | Train Loss: 0.1404 | Train Acc: 95.08% | Val Loss: 0.3358 | Val Acc: 91.54% | LR: 0.000099
Epoch [110/150] | Train Loss: 0.1423 | Train Acc: 95.08% | Val Loss: 0.3423 | Val Acc: 91.49% | LR: 0.000095
Epoch [111/150] | Train Loss: 0.1374 | Train Acc: 95.19% | Val Loss: 0.3354 | Val Acc: 91.54% | LR: 0.000091
Epoch [112/150] | Train Loss: 0.1360 | Train Acc: 95.32% | Val Loss: 0.3428 | Val Acc: 91.51% | LR: 0.000087
Epoch [113/150] | Train Loss: 0.1276 | Train Acc: 95.56% | Val Loss: 0.3345 | Val Acc: 91.72% | LR: 0.000083
Epoch [114/150] | Train Loss: 0.1279 | Train Acc: 95.54% | Val Loss: 0.3376 | Val Acc: 91.55% | LR: 0.000079
